row_id,section,page_slug,provider_or_product,source_url,metric_key,metric_label,metric_value_text,value_numeric,value_min,value_max,unit,tier,source_type,verification_date,is_headline,confidence,figure_status,notes
insuremore-travel-insurance-review__underwriter,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,underwriter,Underwriter,"Great Lakes Insurance UK Limited (FRN 955859), part of Munich Re",,,,,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__underwriter__dup2,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,underwriter,Legal expenses insurer,DAS Legal Expenses Insurance Company Limited (FRN 202106),,,,,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__cancellation,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,cancellation,Cancellation,"£5,000 as standard, upgradable to £10,000 on Holiday+",,,,,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__personal_liability,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,personal_liability,Personal liability,"£2,000,000",2000000,,,GBP,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__oldest_age_accepted,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,,Oldest age accepted,"85 on a Holiday+ single trip, 75 on any annual policy",,,,,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__longest_trip,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,,Longest trip,"540 days on Adventure Travel, age 65 and under",,,,,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__fees,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,,Fees,"No set-up or renewal fee, £15 mid-term change",15,,,GBP,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__cooling_off_days,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,cooling_off_days,Cooling-off period,"14 days, though short single trips may earn no refund",,,,,,own_review,2026-08-31,false,high,current,
insuremore-travel-insurance-review__scheme_since,Travel Insurance,insuremore-travel-insurance-review,InsureMore Travel Insurance Review,https://compare100.com/insuremore-travel-insurance-review/,,Scheme since,"19 May 2021, endorsed by BIBA",,,,,,own_review,2026-08-31,false,high,current,
quotezone-travel-insurance-review__operator,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,operator,Run by,"Seopa Ltd, Belfast · Northern Ireland company NI46322",,,,,,own_review,2026-08-19,false,high,current,
quotezone-travel-insurance-review__fca_firm_reference,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,fca_firm_reference,FCA reference,"313860, as a non-investment insurance intermediary and credit broker",,,,identifier,,own_review,2026-08-19,false,high,current,
quotezone-travel-insurance-review__network_size,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,network_size,Travel panel,Stated as up to 15 providers — against 300+ relationships across the wider site,,,,,,panel_listing,2026-08-19,false,medium,current,Read off panel listing not insurer wording
quotezone-travel-insurance-review__emergency_medical__dup2,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,emergency_medical,Emergency medical limits,£10m to unlimited across the specialist insurers listed,,10000000,,GBP,,panel_listing,2026-08-19,false,medium,current,Read off panel listing not insurer wording
quotezone-travel-insurance-review__cancellation,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,cancellation,Cancellation limits,"£10,000 to £25,000 depending on insurer",,10000,25000,GBP,,panel_listing,2026-08-19,false,medium,current,Read off panel listing not insurer wording
quotezone-travel-insurance-review__baggage,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,baggage,Baggage limits,"£2,500 to £5,000",,2500,5000,GBP,,panel_listing,2026-08-19,false,medium,current,Read off panel listing not insurer wording
quotezone-travel-insurance-review__policy_excess,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,policy_excess,Maximum excess,"£60 at one insurer, £500 at another — an eight-fold spread",60,,,GBP,,panel_listing,2026-08-19,false,medium,current,Policy/standard excess (not medical-only); Read off panel listing not insurer wording
quotezone-travel-insurance-review__trip_length_days,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,trip_length_days,Trip length,"Single trip usually 30–31 days · annual policies 31–45 days per trip, 90 on request",,,,,,own_review,2026-08-19,false,high,current,
quotezone-travel-insurance-review__tax_inside_the_price,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,,Tax inside the price,"Insurance Premium Tax at the higher rate of 20%, which travel insurance has attracted since 1998",20,,,percent,,own_review,2026-08-19,false,high,current,
quotezone-travel-insurance-review__if_it_goes_wrong,Travel Insurance,quotezone-travel-insurance-review,Quotezone.co.uk Travel Insurance,https://compare100.com/quotezone-travel-insurance-review/,,If it goes wrong,"Seopa first, Financial Ombudsman Service after eight weeks · FSCS covers 90% of a mediation claim with no upper limit",90,,,percent,,own_review,2026-08-19,false,high,current,
saga-travel-insurance-review__minimum_age,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,,Minimum age,50 — no exceptions,,,,,,own_review,2026-08-16,false,high,current,
saga-travel-insurance-review__emergency_medical__dup2,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,emergency_medical,Emergency medical (Plus),Up to £20 million,,,,,,own_review,2026-08-16,false,medium,current,
saga-travel-insurance-review__cancellation,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,cancellation,Cancellation (Plus),"Up to £20,000",,,,,,own_review,2026-08-16,false,medium,current,
saga-travel-insurance-review__baggage,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,baggage,Baggage (Plus),"Up to £10,000",,,,,,own_review,2026-08-16,false,medium,current,
saga-travel-insurance-review__missed_departure,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,,Missed departure,"Up to £1,500",,,,,,own_review,2026-08-16,false,medium,current,
saga-travel-insurance-review__abandonment,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,,Abandonment,"Up to £20,000",,,,,,own_review,2026-08-16,false,medium,current,
saga-travel-insurance-review__trip_length_days,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,trip_length_days,Single trip length,Up to 180 days,,,,,,own_review,2026-08-16,false,medium,current,
saga-travel-insurance-review__trip_length_days__dup2,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,trip_length_days,Annual multi-trip,"180 days a year total, 45 days maximum per trip (extendable to 60–90 for some regions)",,,,,,own_review,2026-08-16,false,high,current,
saga-travel-insurance-review__defaqto_rating,Travel Insurance,saga-travel-insurance-review,Saga Travel Insurance Review,https://compare100.com/saga-travel-insurance-review/,defaqto_rating,Defaqto rating,5 stars,5,,,stars,,third_party_rating,2026-08-16,false,high,current,
voyager-travel-insurance-review__trading_since,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,trading_since,Trading since,September 1996,,,,,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__legal_entity,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,legal_entity,Legal entity,"Caledon MGA Ltd, company no. 3251842",,,,,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__fca_firm_reference,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,fca_firm_reference,FCA firm reference,305814,,,,identifier,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__underwriter,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,underwriter,Underwriter,"Starr International (Europe) Limited, FRN 472977",,,,,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__policy_excess,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,policy_excess,Excess per claim,£150 / £100 / £75 / £50 by tier,150,,,GBP,,own_review,2026-08-28,false,high,current,Policy/standard excess (not medical-only)
voyager-travel-insurance-review__emergency_medical__dup2,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,emergency_medical,Emergency medical,£5m to £10m by tier,,5000000,10000000,GBP,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__cancellation,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,cancellation,Cancellation,"£1,000 to £10,000 by tier",,1000,10000,GBP,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__activities_as_standard,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,,Activities as standard,Over 100,,,,,,own_review,2026-08-28,false,high,current,
voyager-travel-insurance-review__admin_fee,Travel Insurance,voyager-travel-insurance-review,Voyager Travel Insurance Review,https://compare100.com/voyager-travel-insurance-review/,admin_fee,Telephone admin fee,£12; nothing online,12,,,GBP,,own_review,2026-08-28,false,high,current,
admiral-car-insurance-review__defaqto_rating,Car Insurance Deals,admiral-car-insurance-review,Admiral Car Insurance Review,https://compare100.com/admiral-car-insurance-review/,defaqto_rating,Defaqto rating,5 stars on comprehensive policies — Essential is excluded,5,,,stars,,third_party_rating,2026-08-16,false,high,current,
admiral-car-insurance-review__policy_excess,Car Insurance Deals,admiral-car-insurance-review,Admiral Car Insurance Review,https://compare100.com/admiral-car-insurance-review/,policy_excess,Voluntary excess,"£0 to £500 in £50 steps, plus £700, £750 and £1,000 options",,0,500,GBP,,own_review,2026-08-16,false,high,current,Policy/standard excess (not medical-only)
admiral-car-insurance-review__admin_fee,Car Insurance Deals,admiral-car-insurance-review,Admiral Car Insurance Review,https://compare100.com/admiral-car-insurance-review/,admin_fee,Admin fees,About £15 to amend a policy; £60–£160 to cancel,,,,,,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__sum_insured__admiral,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,sum_insured,Contents sum insured,"£100,000 (Admiral)",100000,,,GBP,Admiral,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__sum_insured__gold,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,sum_insured,Contents sum insured,"£125,000 (Gold)",125000,,,GBP,Gold,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__sum_insured__platinum,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,sum_insured,Contents sum insured,"£150,000 (Platinum)",150000,,,GBP,Platinum,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__single_item_limit,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,,Single-item limit,"£2,000 — anything above must be specified individually",2000,,,GBP,,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__home_emergency__admiral,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,home_emergency,Home emergency,Optional £500 limit (Admiral),500,,,GBP,Admiral,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__home_emergency__gold,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,home_emergency,Home emergency,Included £500 (Gold),500,,,GBP,Gold,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__home_emergency__platinum,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,home_emergency,Home emergency,"Included £1,000 (Platinum)",1000,,,GBP,Platinum,own_review,2026-08-16,false,high,current,
admiral-home-insurance-review__legal_cover__admiral,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,,Legal cover,"Optional up to £100,000 (Admiral and Gold)",,,,,Admiral,own_review,2026-08-16,false,medium,current,
admiral-home-insurance-review__legal_cover__gold,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,,Legal cover,"Optional up to £100,000 (Admiral and Gold)",,,,,Gold,own_review,2026-08-16,false,medium,current,
admiral-home-insurance-review__admin_fee,Home Insurance,admiral-home-insurance-review,Admiral Home Insurance Review: Buildings and Contents Cover,https://compare100.com/admiral-home-insurance-review/,admin_fee,Admin fees,About £15 to amend · £60–£160 to cancel,,,,,,own_review,2026-08-16,false,high,current,
admiral-motorbike-insurance-review__admin_fee,Motorbike Insurance,admiral-motorbike-insurance-review,Admiral Motorbike Insurance Review,https://compare100.com/admiral-motorbike-insurance-review/,admin_fee,Admin fees,About £15 to amend · £60–£160 to cancel,,,,,,own_review,2026-08-16,false,high,current,
admiral-van-insurance-review__admin_fee,Van Insurance,admiral-van-insurance-review,Admiral Van Insurance Review,https://compare100.com/admiral-van-insurance-review/,admin_fee,Admin fees,About £15 to amend; £60–£160 to cancel,,,,,,own_review,2026-08-16,false,high,current,
aviva-car-insurance-review__underwriter,Car Insurance Deals,aviva-car-insurance-review,Aviva Car Insurance,https://compare100.com/aviva-car-insurance-review/,underwriter,Insurer,Aviva Insurance Limited — FCA/PRA firm reference 202153,,,,,,own_review,2026-08-22,false,high,current,
aviva-car-insurance-review__registered,Car Insurance Deals,aviva-car-insurance-review,Aviva Car Insurance,https://compare100.com/aviva-car-insurance-review/,,Registered,"Scotland, no. SC002116, Pitheavlis, Perth PH2 0NH",,,,,,own_review,2026-08-22,false,high,current,
aviva-car-insurance-review__network_size,Car Insurance Deals,aviva-car-insurance-review,Aviva Car Insurance,https://compare100.com/aviva-car-insurance-review/,network_size,Group scale,Almost 22 million UK customers at the 2025 results,,,,,,own_review,2026-08-22,false,high,current,
aviva-car-insurance-review__personal_belongings,Car Insurance Deals,aviva-car-insurance-review,Aviva Car Insurance,https://compare100.com/aviva-car-insurance-review/,,Personal belongings,£500 per incident on comprehensive,500,,,GBP,,own_review,2026-08-22,false,high,current,
